id,Latitude,Longitude,Block,level,parent,state,details
0,-27.6005328,-48.5183203,0,0,-1,VIC,cloud datacenter
1,-27.60046,-48.51827,1,1,0,VIC,proxy
2,-27.6004909,-48.5182207,2,1,0,VIC,proxy
3,-27.6004992,-48.5182897,3,1,0,VIC,proxy
4,-27.600402,-48.5182716,1,2,1,VIC,gateway
5,-27.6005006,-48.5181878,2,2,2,VIC,gateway
6,-27.6004097,-48.5183641,1,2,1,VIC,gateway
7,-27.6005196,-48.5182756,3,2,3,VIC,gateway
8,-27.6004475,-48.5183275,1,2,1,VIC,gateway
9,-27.600545,-48.5182482,3,2,3,VIC,gateway
10,-27.6004826,-48.5183172,3,2,3,VIC,gateway
11,-27.600454,-48.5182187,2,2,2,VIC,gateway
