Latitude,Longitude
-27.600570678710938,-48.51858901977539
-27.60058505059329,-48.51859396841134
-27.600590547181337,-48.518575989881924
-27.600590547181337,-48.518575989881924
-27.600590547181337,-48.518575989881924
-27.600590547181337,-48.518575989881924
-27.600590547181337,-48.518575989881924
-27.60060287296724,-48.51858173749029
-27.60060287296724,-48.51858173749029
-27.60060287296724,-48.51858173749029
-27.60060287296724,-48.51858173749029
-27.60060287296724,-48.51858173749029
-27.60060287296724,-48.51858173749029
-27.600615424079063,-48.5185895802954
-27.600629933079887,-48.5185990025507
-27.6006464369525,-48.51860567054806
-27.600634853751735,-48.51860341900192
-27.600634853751735,-48.51860341900192
-27.600634853751735,-48.51860341900192
-27.600621909479827,-48.51859401443788
