Latitude,Longitude
-27.600570678710938,-48.51858901977539
-27.60056444409907,-48.518576236926734
-27.60057226248121,-48.51859379730053
-27.600569386714042,-48.51858306479135
-27.60056497845442,-48.518570953197575
-27.600575110921643,-48.51858260926776
-27.600575110921643,-48.51858260926776
-27.60058561900533,-48.51858685480915
-27.600581265915505,-48.5185726164939
-27.600581265915505,-48.5185726164939
-27.600581265915505,-48.5185726164939
-27.600581265915505,-48.5185726164939
-27.60059627625049,-48.51858566477903
-27.60059627625049,-48.51858566477903
-27.60059627625049,-48.51858566477903
-27.600608713114113,-48.51858523047419
-27.600608713114113,-48.51858523047419
-27.60062122738856,-48.518596900223905
-27.60062122738856,-48.518596900223905
-27.600604983530935,-48.51859519292567
